	playerID	yearID_x	stint	teamID_x	lgID_x	G	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	IBB	HBP	SH	SF	GIDP	yearID_y	teamID_y	lgID_y	G_all	GS	G_batting	G_defense	G_p	G_c	G_1b	G_2b	G_3b	G_ss	G_lf	G_cf	G_rf	G_of	G_dh	G_ph	G_pr
136	betemwi01	2004	1	ATL	NL	22	47	2	8	0	0	0	3.0	0.0	1.0	4	16.0	0.0	0.0	0.0	1.0	0.0	2004	ATL	NL	22	11.0	22	17.0	0	0	0	0	7	11	0	0	0	0	0.0	4.0	2.0
137	biddlro01	2004	1	MON	NL	47	11	0	0	0	0	0	0.0	0.0	0.0	0	7.0	0.0	0.0	3.0	0.0	0.0	2004	MON	NL	47	9.0	44	47.0	47	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
138	bierbni01	2004	1	TEX	AL	4	2	0	0	0	0	0	0.0	0.0	0.0	0	2.0	0.0	0.0	1.0	0.0	0.0	2004	TEX	AL	4	4.0	1	4.0	4	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
139	bigbila01	2004	1	BAL	AL	139	478	76	134	23	1	15	68.0	8.0	3.0	45	113.0	0.0	1.0	3.0	4.0	7.0	2004	BAL	AL	139	131.0	139	134.0	0	0	0	0	0	0	114	30	0	134	2.0	3.0	5.0
140	biggicr01	2004	1	HOU	NL	156	633	100	178	47	0	24	63.0	7.0	2.0	40	94.0	0.0	15.0	9.0	3.0	8.0	2004	HOU	NL	156	150.0	156	149.0	0	0	0	0	0	0	83	66	0	149	1.0	6.0	0.0
142	blakeca01	2004	1	CLE	AL	152	587	93	159	36	3	28	88.0	5.0	8.0	68	139.0	2.0	9.0	1.0	3.0	19.0	2004	CLE	AL	152	151.0	152	152.0	0	0	8	0	152	0	0	0	0	0	0.0	0.0	0.0
143	blaloha01	2004	1	TEX	AL	159	624	107	172	38	3	32	110.0	2.0	2.0	75	149.0	7.0	6.0	0.0	8.0	13.0	2004	TEX	AL	159	154.0	159	159.0	0	0	0	0	159	0	0	0	0	0	0.0	4.0	0.0
144	blancan01	2004	1	KCA	AL	19	60	9	19	2	2	0	5.0	1.0	2.0	5	6.0	0.0	1.0	1.0	0.0	0.0	2004	KCA	AL	19	19.0	19	19.0	0	0	0	0	0	19	0	0	0	0	0.0	0.0	0.0
145	blanche01	2004	1	MIN	AL	114	315	36	65	19	1	10	37.0	0.0	3.0	21	56.0	0.0	3.0	11.0	3.0	8.0	2004	MIN	AL	114	95.0	114	114.0	0	114	0	0	0	0	0	0	0	0	0.0	0.0	3.0
147	bloomwi01	2004	1	SEA	AL	93	188	27	46	10	0	2	18.0	13.0	2.0	10	48.0	0.0	0.0	3.0	0.0	2.0	2004	SEA	AL	93	55.0	93	78.0	0	0	19	1	31	20	8	1	0	9	6.0	3.0	26.0
148	blumge01	2004	1	TBA	AL	112	339	38	73	21	0	8	35.0	2.0	3.0	24	58.0	1.0	0.0	4.0	2.0	4.0	2004	TBA	AL	112	88.0	112	108.0	0	0	2	52	59	1	7	0	0	7	2.0	8.0	1.0
149	bocachi01	2004	1	SEA	AL	50	90	9	22	5	0	3	6.0	5.0	4.0	12	27.0	0.0	1.0	3.0	1.0	1.0	2004	SEA	AL	50	25.0	50	44.0	0	0	0	0	0	0	1	32	12	44	3.0	2.0	8.0
